Periodo;1. Deuda  bruta Gobierno  Central;2. Deuda  neta  Gobierno  Central;3. Deuda  bruta Banco  Central;4. Deuda  neta Banco  Central;5. Deuda  bruta Sector  Público  Consolidado;6. Deuda  neta Sector  Público  Consolidado;7. Deuda  bruta Empresas  Públicas;8. Deuda  neta Empresas  Públicas
mar.2006;6,36;-1,65;17,42;2,08;21,19;0,43;5,50;5,02
jun.2006;5,80;-3,75;16,74;1,53;19,91;-2,21;5,58;4,80
sep.2006;5,30;-6,03;15,51;1,55;18,78;-4,49;5,40;4,63
dic.2006;5,02;-6,67;15,72;0,84;18,55;-5,83;5,06;4,25
mar.2007;4,94;-8,44;12,32;0,73;16,13;-7,71;4,94;4,28
jun.2007;4,88;-10,66;13,21;0,27;17,04;-10,39;4,90;3,93
sep.2007;4,24;-12,27;11,00;0,55;14,61;-11,72;4,98;3,65
dic.2007;3,90;-13,01;10,35;0,20;13,88;-12,80;4,79;3,42
mar.2008;3,37;-14,12;9,80;1,07;12,73;-13,05;4,42;4,05
jun.2008;3,67;-16,48;10,57;-0,90;13,80;-17,38;5,05;4,76
sep.2008;4,22;-17,86;13,92;-0,81;17,76;-18,66;5,67;5,14
dic.2008;4,92;-19,26;13,40;-3,32;18,07;-22,59;6,50;5,92
mar.2009;4,81;-17,22;13,63;-1,83;18,18;-19,05;7,23;6,39
jun.2009;4,64;-14,00;13,12;-1,63;17,52;-15,63;6,32;5,78
sep.2009;5,52;-12,82;14,95;-2,56;19,01;-15,38;6,58;5,73
dic.2009;5,84;-10,58;15,51;-1,48;20,97;-12,07;6,28;5,56
mar.2010;6,50;-9,83;15,18;-1,43;21,26;-11,25;6,60;5,89
jun.2010;7,10;-10,26;13,17;-1,64;19,69;-11,91;6,80;6,17
sep.2010;8,23;-8,52;11,35;-0,93;19,16;-9,45;6,13;5,58
dic.2010;8,61;-7,04;11,16;-0,73;19,36;-7,77;6,17;5,55
mar.2011;8,96;-7,77;12,59;-0,72;20,86;-8,49;6,02;4,86
jun.2011;9,37;-8,21;12,98;-1,06;20,95;-8,91;5,70;4,71
sep.2011;10,57;-9,86;14,25;-2,15;23,63;-12,01;6,01;5,21
dic.2011;11,13;-8,60;16,96;-1,96;27,06;-10,55;6,69;5,62
mar.2012;11,07;-8,50;14,73;-1,17;24,47;-9,67;6,29;5,37
jun.2012;11,49;-9,30;15,04;-1,47;24,70;-10,78;6,63;5,75
sep.2012;11,33;-7,86;14,63;-0,27;24,40;-8,13;7,39;6,21
dic.2012;11,94;-6,77;15,19;-1,09;26,29;-7,86;6,95;5,98
mar.2013;11,46;-6,77;13,75;-0,64;24,25;-7,41;6,86;5,86
jun.2013;12,05;-6,88;14,12;-1,64;25,13;-8,52;7,17;6,40
sep.2013;12,61;-6,70;14,65;-1,22;25,82;-7,92;7,38;6,60
dic.2013;12,78;-5,65;13,54;-2,24;25,77;-7,89;7,67;6,84
mar.2014;12,72;-6,22;13,80;-2,43;25,96;-8,65;8,41;7,36
jun.2014;13,47;-5,77;13,63;-2,35;25,89;-8,13;8,27;7,35
sep.2014;13,63;-5,91;13,37;-3,38;26,37;-9,29;8,82;7,99
dic.2014;15,02;-4,37;13,65;-3,08;27,80;-7,44;9,08;7,99
mar.2015;14,16;-4,36;13,00;-3,05;27,00;-7,41;9,03;8,30
jun.2015;16,05;-3,79;12,69;-3,14;28,07;-6,94;9,02;8,29
sep.2015;16,89;-4,75;12,93;-4,39;28,87;-9,15;10,54;9,01
dic.2015;17,37;-3,46;12,80;-4,53;29,92;-7,99;10,13;8,97
mar.2016;17,97;-2,24;12,53;-4,11;30,22;-6,35;9,48;8,72
jun.2016;20,46;-3,26;12,56;-3,59;32,03;-6,85;9,26;8,74
sep.2016;20,85;-1,02;12,22;-3,52;31,95;-4,54;9,32;8,79
dic.2016;21,10;0,94;12,42;-3,66;32,87;-2,72;9,33;8,79
mar.2017;21,31;1,18;11,80;-3,45;32,40;-2,27;9,48;8,75
jun.2017;23,59;1,21;11,64;-3,40;34,19;-2,18;9,33;8,50
sep.2017;23,47;2,66;10,75;-3,52;33,43;-0,85;9,12;8,17
dic.2017;23,65;4,42;10,54;-3,05;33,80;1,37;8,56;7,65
mar.2018;23,58;5,01;10,31;-2,39;33,71;2,62;8,28;7,38
jun.2018;23,77;4,62;9,94;-3,04;33,44;1,58;8,82;7,68
sep.2018;25,08;5,18;9,65;-3,60;34,33;1,59;8,75;7,54
dic.2018;25,80;5,74;10,54;-4,16;35,80;1,58;9,32;8,32
mar.2019;25,83;5,84;9,68;-4,20;35,02;1,86;8,81;8,15
jun.2019;27,24;6,11;9,40;-4,72;36,26;1,39;8,89;8,32
sep.2019;27,84;6,53;9,14;-5,52;36,69;1,01;10,07;8,81
dic.2019;28,33;7,99;10,57;-5,71;38,56;2,29;10,27;9,37
mar.2020;29,91;5,39;10,92;-6,15;40,61;-0,76;11,90;10,34
jun.2020;32,59;7,93;18,05;-1,52;50,16;6,41;12,67;10,67
sep.2020;33,12;11,56;17,29;-1,65;50,31;13,60;12,16;10,12
dic.2020;32,38;13,31;14,89;-2,48;47,05;10,83;10,17;8,79
mar.2021;32,76;14,08;16,10;-2,10;48,64;11,99;10,30;9,00
jun.2021;33,08;15,57;18,41;-2,91;51,24;12,66;9,65;8,42
sep.2021;36,08;18,22;22,13;-1,13;57,44;17,09;10,30;8,77
dic.2021;36,43;20,22;21,35;-1,10;56,78;19,12;10,34;9,05
mar.2022;36,20;19,70;16,62;-4,30;52,22;15,39;9,35;8,02
jun.2022;39,13;18,28;20,53;-1,55;57,74;16,73;10,63;9,18
sep.2022;39,23;19,46;18,92;-0,55;56,41;18,91;10,71;9,30
dic.2022;37,80;20,41;18,65;0,69;56,38;21,10;9,56;8,43
