periodo,ct,ch,bd,bnd,srv,cg,fbkf,cons,mye,x,m,pib,tiempo,lct,lch,lbd,lbnd,lsrv,lcg,lfbkf,lcons,lmye,lx,lm,lpib,cyc_ct,trend_ct,cyc_ch,trend_ch,cyc_bd,trend_bd,cyc_bnd,trend_bnd,cyc_srv,trend_srv,cyc_cg,trend_cg,cyc_fbkf,trend_fbkf,cyc_cons,trend_cons,cyc_mye,trend_mye,cyc_x,trend_x,cyc_m,trend_m,cyc_pib,trend_pib
mar.1996,13434.76,10454.74,480.60999,5280.1201,4856.8999,3124.76,3470.23,2860.3999,800.07001,5340.71,3642.3899,20073.65,1996q1,9.5056009,9.2548103,6.175056,8.5717039,8.4881554,8.0471125,8.1519766,7.9587169,6.6846991,8.5831137,8.2003956,9.9071636,-.019656099,9.5252571,-.021007389,9.2758179,-.056453854,6.2315097,-.0099582104,8.5816622,-.0275442,8.5156994,-.011888912,8.059001,-.039293915,8.1912708,-.014170631,7.9728875,-.082658619,6.7673578,-.069926701,8.6530399,-.046711531,8.2471075,-.018191136,9.925355
jun.1996,13584.22,10583.15,474.72,5309.1401,4982.8799,3140.1399,3465.1799,2854.97,799.53998,5886.9902,3657.0801,20273.369,1996q2,9.5166645,9.2670183,6.162725,8.5771856,8.5137634,8.0520229,8.1505194,7.9568167,6.6840367,8.6805,8.2044201,9.9170637,-.017373824,9.5340385,-.018257976,9.2852764,-.070781529,6.2335067,-.012078542,8.5892639,-.014697413,8.5284605,-.012052437,8.0640755,-.04577142,8.196291,-.02349996,7.9803166,-.083317839,6.7673545,.0077732168,8.6727266,-.053548511,8.2579689,-.017982848,9.9350462
sep.1996,13628.79,10610.52,472.53,5280.8301,5051.2202,3162.24,3439.8999,2851,785.34003,5964.6001,3693.98,20475.48,1996q3,9.5199394,9.2696009,6.1581011,8.5718384,8.5273848,8.0590363,8.143198,7.9554253,6.6661167,8.6935968,8.2144594,9.9269838,-.022867925,9.5428076,-.025120869,9.2947216,-.077366799,6.2354679,-.025021624,8.5968599,-.013820143,8.5412045,-.010105679,8.0691423,-.058088511,8.2012863,-.032311648,7.9877367,-.10118309,6.7672997,.0012272904,8.6923695,-.054341476,8.2688007,-.017743165,9.9447269
dic.1996,13822.35,10769.39,488.98001,5307.6201,5166.5601,3194.05,3599.2,2813.8701,905.71002,5924.1499,4010.6599,20768.949,1996q4,9.5340424,9.2844629,6.1923218,8.5768986,8.549962,8.0690451,8.188467,7.9423161,6.8087192,8.6867924,8.296711,9.9412146,-.017498577,9.5515413,-.01966658,9.3041296,-.044992678,6.2373142,-.027537258,8.6044359,-.0039433017,8.5539055,-.0051410361,8.0741863,-.017737506,8.2062044,-.052808728,7.9951248,.041629519,6.7670898,-.025137361,8.7119293,.017169639,8.279541,-.013158893,9.9543734
mar.1997,14049.59,10936.12,490.59,5449.1802,5191.3701,3263.0801,3710.8601,2964.54,902.33002,6447.9399,3897.3701,21239.93,1997q1,9.5503483,9.2998266,6.1956086,8.60322,8.5547533,8.0904264,8.2190189,7.9944773,6.8049803,8.7715158,8.2680569,9.9636383,-.0098533779,9.5602016,-.013632748,9.3134594,-.043309733,6.2389183,-.008742271,8.6119623,-.011773832,8.5665274,.011239846,8.0791864,.008063592,8.2109556,-.0079592485,8.0024366,.038423177,6.7665572,.040146556,8.731369,-.022036411,8.2900934,-.0003139303,9.9639521
jun.1997,14362.83,11200.41,523.5,5540.6899,5317.6299,3303.0601,3803.78,3079.0701,904.90997,6315.7002,4061.0801,21681.98,1997q2,9.5723991,9.3237057,6.2605371,8.619874,8.578783,8.1026049,8.2437506,8.032383,6.8078356,8.7507935,8.3092041,9.9842367,.0036579934,9.5687408,.0010468875,9.3226585,.020413583,6.2401237,.00048135078,8.6193924,-.00024973185,8.5790329,.018485937,8.0841188,.028312169,8.2154388,.022787591,8.0095949,.042274341,6.7655611,.00015902679,8.7506342,.0088332482,8.3003712,.010815299,9.9734211
sep.1997,14774,11574.91,590.17999,5695.8501,5424.3398,3311.3799,3998.46,3205.6599,966.62,6515,4244.73,22171.77,1997q3,9.6006241,9.356595,6.3804274,8.6474934,8.5986519,8.1051207,8.2936649,8.0726728,6.8738055,8.7818623,8.3534336,10.006576,.023519222,9.5771046,.024928337,9.3316669,.13968033,6.240747,.020818437,8.6266747,.0072745066,8.5913773,.016155034,8.0889654,.074106738,8.2195578,.056153223,8.0165195,.10982042,6.7639852,.012165807,8.7696962,.043159228,8.3102741,.023836702,9.9827385
dic.1997,15116.41,11888.05,635.48999,5824.6201,5537.1099,3316.27,4275.9702,3304.1499,1095.29,6749.7798,4767.6602,22643.73,1997q4,9.6235361,9.3832893,6.4543962,8.6698494,8.6192284,8.106596,8.3607664,8.1029348,6.9987745,8.8172655,8.4696112,10.027638,.038295545,9.5852404,.042866614,9.3404226,.2137778,6.2406182,.036092095,8.6337576,.01571241,8.6035156,.012875219,8.0937204,.13752952,8.223237,.079793043,8.0231419,.23703635,6.7617383,.028738754,8.7885265,.14990145,8.3197098,.035769165,9.991869
mar.1998,15314.86,12081.02,644.21002,5907.1602,5648.1602,3306.5801,4189.79,3240.96,1073.88,6716.04,4695.9102,22825.631,1998q1,9.6365786,9.3993912,6.4680247,8.6839209,8.6390848,8.1036701,8.3404055,8.0836248,6.9790335,8.812254,8.4544468,10.03564,.043467849,9.593111,.050509147,9.3488817,.22836992,6.239655,.043319862,8.6406012,.023676796,8.6154079,.005281562,8.0983887,.11396247,8.2264433,.054195341,8.0294294,.22023489,6.7587986,.0051496001,8.8071041,.1258371,8.3286095,.034847643,10.000793
jun.1998,15500.68,12251.25,659.95001,5987.5298,5717.5298,3310.1799,4383.5698,3539.95,1045.61,6977.23,4663.0498,23212.83,1998q2,9.6486387,9.4133835,6.4921641,8.6974344,8.6512918,8.1047583,8.3856192,8.1718683,6.9523559,8.8504076,8.4474249,10.052461,.047937039,9.6007013,.056356899,9.3570271,.25425741,6.2379069,.050244622,8.6471901,.024268921,8.6270227,.0017770542,8.1029816,.15638822,8.2292309,.13646808,8.0354004,.19706328,6.7552924,.024981398,8.8254261,.11042409,8.3370008,.042951345,10.009509
sep.1998,15282.34,12044.39,595.47998,5885.6802,5728.4102,3316.5,4112.48,3312.25,985.53998,6904.52,4595.0098,23056.91,1998q3,9.6344528,9.3963547,6.3893676,8.6802778,8.6531935,8.1066656,8.3217812,8.1053829,6.8931899,8.8399315,8.4327259,10.045721,.026425771,9.6080275,.031484734,9.3648701,.15380007,6.2355676,.02674325,8.6535349,.014848656,8.6383448,-.00084864377,8.1075144,.090054736,8.2317266,.064277552,8.0411053,.14170583,6.7514839,-.0035610071,8.8434925,.087737665,8.3449879,.027676491,10.018044
dic.1998,14961.1,11738.45,495.92999,5763.6201,5721.9302,3328.28,3661.77,3067.5901,815.66998,7103.79,4183.8901,22310.619,1998q4,9.6132088,9.3706255,6.2064347,8.6593208,8.6520615,8.1102114,8.2057018,8.0286474,6.70401,8.8683834,8.3389969,10.012818,-.001921543,9.6151304,-.0018353643,9.3724613,-.026554704,6.2329893,-.00035674375,8.6596775,.0026884503,8.6493731,-.0017929674,8.1120043,-.028451025,8.2341528,-.018034121,8.0466814,-.043750152,6.7477603,.0070643811,8.8613186,-.013749285,8.352746,-.013630013,10.026448
mar.1999,14950.2,11713.36,462.51001,5739.9399,5783.1099,3346.6001,3496.3,2989.1699,746.34003,7161.3599,4024.4199,22314.9,1999q1,9.6124802,9.3684855,6.1366682,8.6552038,8.6626968,8.1156998,8.159461,8.0027514,6.6151814,8.8764553,8.3001356,10.01301,-.0095913541,9.6220713,-.01138233,9.3798676,-.093952641,6.2306209,-.01047396,8.665678,.0025807344,8.6601162,-.00076780579,8.1164675,-.077328913,8.2367897,-.04955424,8.0523052,-.12941502,6.7445965,-.0024640635,8.8789196,-.060367998,8.3605032,-.021778477,10.034788
